,rent_sta,return_sta,Sec,Count,Avg_time
0,Academia Park,Academia Park,2674.0,327,0:44:34
1,Academia Park,Chengong Public Housing,4485.0,1,1:14:45
2,Academia Park,Donghu Elementary School,1870.0,3,0:31:10
3,Academia Park,Dongxin Elementary School,1265.0,8,0:21:05
4,Academia Park,Dongyang Park,1081.0,1,0:18:01
5,Academia Park,Dunhua & Keelung Intersection,2394.0,1,0:39:54
6,Academia Park,Fude Park,2081.0,6,0:34:41
7,Academia Park,Jiuzhuang Recreation Center,846.0,93,0:14:06
8,Academia Park,Keelung & Changxing Intersection,3392.0,2,0:56:32
9,Academia Park,Linyun Market,898.0,80,0:14:58
10,Academia Park,Longmen Square,2949.0,4,0:49:09
11,Academia Park,MRT Daan Sta.,5237.0,3,1:27:17
12,Academia Park,MRT Daqiaotou Sta. (Exit 2),3749.0,4,1:02:29
13,Academia Park,MRT Donghu Sta.,3583.0,10,0:59:43
14,Academia Park,MRT Dongmen Sta. (Exit 4),4289.0,1,1:11:29
15,Academia Park,MRT Gangqian Sta. (Exit 2),4427.0,1,1:13:47
16,Academia Park,MRT Houshanpi Sta.(Exit 1),1772.0,11,0:29:32
17,Academia Park,MRT Huzhou Sta. (Exit 1),1224.0,2,0:20:24
18,Academia Park,MRT Jiannan Rd. Sta.(Exit 2),7737.0,5,2:08:57
19,Academia Park,MRT Kunyang Sta. (Exit 1),1498.0,50,0:24:58
20,Academia Park,MRT Nangang Exhibition Center Sta. (Exit 5),482.0,1193,0:08:02
21,Academia Park,MRT Nangang Software Park Sta.(Exit 2),896.0,50,0:14:56
22,Academia Park,MRT Nanjing Sanmin Sta. (Exit 1),3074.0,3,0:51:14
23,Academia Park,MRT S.Y.S Memorial Hall Stataion(Exit 2.),2788.0,3,0:46:28
24,Academia Park,MRT Taipei Arena Sta. (Exit 5),2991.0,1,0:49:51
25,Academia Park,MRT Taipei City Hall Stataion(Exit 3)-2,2081.0,10,0:34:41
26,Academia Park,MRT Taipower Building Sta. (Exit 2),2639.0,2,0:43:59
27,Academia Park,MRT Xiangshan Sta.,1251.0,7,0:20:51
28,Academia Park,MRT Xihu Sta. (Exit 1),7625.0,1,2:07:05
29,Academia Park,MRT Xingtian Temple Sta. (Exit 1),3123.0,1,0:52:03
30,Academia Park,MRT Yongchun Sta. (Exit 2),1721.0,12,0:28:41
31,Academia Park,MRT Zhongxiao Fuxing Sta.(Exit 2),2432.0,1,0:40:32
32,Academia Park,MRT Zhongxiao Xinsheng Sta.(Exit 3),3248.0,1,0:54:08
33,Academia Park,MinQuan Park,1423.0,1,0:23:43
34,Academia Park,Minsheng & Guangfu Intersection,2468.0,1,0:41:08
35,Academia Park,N.T.U.S.T,10404.0,1,2:53:24
36,Academia Park,NTNU Library,4199.0,1,1:09:59
37,Academia Park,NTU Information Bldg.,3295.0,1,0:54:55
38,Academia Park,Nanchang Park,3425.0,1,0:57:05
39,Academia Park,Nangang Elementary School,754.0,36,0:12:34
40,Academia Park,Nangang Park,933.0,112,0:15:33
41,Academia Park,Raohe Night Market,2277.0,5,0:37:57
42,Academia Park,Renai & Linsen Intersection,3712.0,1,1:01:52
43,Academia Park,Renai & Yanji Intersection,2549.0,12,0:42:29
44,Academia Park,Renai & Yixian Intersection,3520.0,1,0:58:40
45,Academia Park,Roosevelt & Jinglong Intersection,3201.0,1,0:53:21
46,Academia Park,Roosevelt & Xinsheng S. Intersection,3825.0,20,1:03:45
47,Academia Park,Ruiguang & Gangqian Intersection,5164.0,3,1:26:04
48,Academia Park,Sanmin Park,1733.0,4,0:28:53
49,Academia Park,Shilin Sports Center,10967.0,1,3:02:47
50,Academia Park,Songde Park,1709.0,3,0:28:29
51,Academia Park,Songshan Rail Sta.,2265.0,26,0:37:45
52,Academia Park,Taipei Cultural Center,2148.0,1,0:35:48
53,Academia Park,Taipei Fine Arts Museum,6012.0,1,1:40:12
54,Academia Park,Taipei Stadium,3015.0,1,0:50:15
55,Academia Park,Xingan Huacheng Community,5557.0,8,1:32:37
56,Academia Park,Xingya Jr. High School,1799.0,4,0:29:59
57,Academia Park,Xinyi Hangzhou Intersection(Chunghwa Telecom),3757.0,1,1:02:37
58,Academia Park,Yongji & Songxin Intersection,1744.0,4,0:29:04
59,Academia Park,Youth Park(Exit 3),8511.0,1,2:21:51
60,Academia Park,Yucheng Park,1293.0,4,0:21:33
61,Bade Market,Academia Park,2612.0,1,0:43:32
62,Bade Market,Bade Market,3161.0,349,0:52:41
63,Bade Market,Chengong Public Housing,1406.0,24,0:23:26
64,Bade Market,Citizen Square,1156.0,2,0:19:16
65,Bade Market,Civic & Taiyuan Intersection,1466.0,19,0:24:26
66,Bade Market,Civic Blvd Linsen Intersection,630.0,69,0:10:30
67,Bade Market,Construction & Planning Agency,703.0,19,0:11:43
68,Bade Market,Dadaocheng Park,1264.0,5,0:21:04
69,Bade Market,Dongyuan Elementary School,1803.0,2,0:30:03
70,Bade Market,Dunhua & Keelung Intersection,1202.0,5,0:20:02
71,Bade Market,Emei Parking Lot,2178.0,8,0:36:18
72,Bade Market,Emergency Operations Center of Taipei City,2292.0,3,0:38:12
73,Bade Market,Fude Park,1712.0,4,0:28:32
74,Bade Market,Fushun Park,1500.0,4,0:25:00
75,Bade Market,Guoxing & Qingnian Intersection,4310.0,1,1:11:50
76,Bade Market,Guting Junior High School,1882.0,1,0:31:22
77,Bade Market,Heping Chongqing Intersection,1861.0,4,0:31:01
78,Bade Market,Heti Elementary School,1499.0,2,0:24:59
79,Bade Market,Huajiang High School,1928.0,2,0:32:08
80,Bade Market,Huashan 1914‧Creative Park,598.0,59,0:09:58
81,Bade Market,JianGuo & Heping Intersection,891.0,15,0:14:51
82,Bade Market,Jiang Wei-shui Memorial Park,1561.0,5,0:26:01
83,Bade Market,Jianguo & Changchun Intersection,470.0,331,0:07:50
84,Bade Market,Jianguo & Nongan Intersection,893.0,27,0:14:53
85,Bade Market,Jihe First Phase Republic Housing,2404.0,6,0:40:04
86,Bade Market,Jinshan & Aiguo Intersection,827.0,12,0:13:47
