"rent_sta","lat","long"
"1","Taiwan Xingya Jr. High School",121.57237,25.03632
"2","Taiwan Construction & Planning Agency",121.5228937,25.0825387
"3","Taiwan Xinyi Square(Taipei 101)",121.5657501,25.0330067
"4","Taiwan Taipei City Hospital Renai Branch",121.5451677,25.0373574
"5","Taiwan Taipei Bus Sta.",121.5187085,25.0488533
"6","Taiwan Xinhai & Xinsheng Intersection",121.557107,25.005475
"7","Taiwan Roosevelt & Xinsheng S. Intersection",121.5397518,25.0173405
"8","Taiwan Huashan 1914‧Creative Park",121.5293995,25.0441303
"9","Taiwan MRT Songjiang Nanjing Sta. (Exit 7)",121.5332079,25.0522468
"10","Taiwan Roosevelt & Ningbo E. St. Intersection",121.5397518,25.0173405
"11","Taiwan MRT Xiangshan Sta.",121.568984,25.03264
"12","Taiwan NTNU Library",121.52847,25.02717
"13","Taiwan MRT Daan Sta.",121.5357355,25.0335652
"14","Taiwan MRT Xinbeitou Sta.",121.502462,25.1369109
"15","Taiwan MRT Zhongshan Sta. (Exit 4)",121.5277127,25.0628004
"16","Taiwan MRT Qilian Sta. (Exit 2)",121.5061653,25.1208333
"17","Taiwan MRT Taipower Building Sta. (Exit 2)",121.528357,25.0206055
"18","Taiwan MRT Kunyang Sta. (Exit 1)",121.5932518,25.0505117
"19","Taiwan MRT Dongmen Sta. (Exit 4)",121.5289673,25.0337097
"20","Taiwan Wanda & Xingning Intersection",121.1535529,23.9333959
"21","Taiwan Longmen Square",NA,NA
"22","Taiwan MRT Nat’l Taiwan U. Hospital Sta.(Exit 4)",121.51604,25.041256
"23","Taiwan National Central Library",121.5166448,25.0373347
"24","Taiwan MRT Zhongshan Elementary School sta.(Exit 4)",121.5252685,25.0627435
"25","Taiwan Linsen Park",121.5261111,25.0525
"26","Taiwan Taipei Fine Arts Museum",121.5248102,25.0724118
"27","Taiwan TWTC Exhibition Hall 2",121.562347,25.033155
"28","Taiwan MRT Taipei 101/World Trade Center Sta.",121.5627598,25.0330304
"29","Taiwan Keelung & Changxing Intersection",121.7391833,25.1276033
"30","Taiwan Zhongshan Dist. Admin. Office",121.5427093,25.0792018
"31","Taiwan Taipei Astronomical Museum",121.5182994,25.0958292
"32","Taiwan MRT Longshan Temple Sta. (Exit. 1)",121.5002818,25.0354789
"33","Taiwan MRT Gongguan Sta.(Exit 2)",121.534608,25.0147305
"34","Taiwan MRT Taipei City Hall Stataion(Exit 3)-2",121.5650821,25.0409614
"35","Taiwan MRT Daan Park Sta.",121.5357355,25.0335652
"36","Taiwan Taipei Confucius Temple",121.5166017,25.0729457
"37","Taiwan MRT Ximen Sta.(Exit 3)",121.5080936,25.0419242
"38","Taiwan Taipei City Hall",121.5654177,25.0329694
"39","Taiwan MRT Linguang Sta. (Exit 2)",121.558791,25.018535
"40","Taiwan LiuGong Park",122.204679,37.499906
"41","Taiwan MRT Technology Bldg. Sta.",121.543437,25.026124
"42","Taiwan Guting Junior High School",121.5109104,25.0246117
"43","Taiwan MRT Xingtian Temple Sta. (Exit 1)",121.5331637,25.0597131
"44","Taiwan Xinsheng & Heping Intersection",121.5276994,25.0605538
"45","Taiwan Guoxing & Qingnian Intersection",120.8271553,24.0240199
"46","Taiwan MRT Jiannan Rd. Sta.(Exit 2)",121.5551591,25.0842774
"47","Taiwan MRT Beitou Sta.",121.4979702,25.1322801
"48","Taiwan MRT S.Y.S Memorial Hall Stataion(Exit 2.)",121.5574551,25.0412043
"49","Taiwan MRT Shandao Temple Sta(Exit 1)",121.5220284,25.0453014
"50","Taiwan Xinyi Hangzhou Intersection(Chunghwa Telecom)",121.5769572,25.0287024
"51","Taiwan MRT Yuanshan Sta. (Exit 2)",121.534608,25.0147305
"52","Taiwan MRT Shilin Sta.(Exit 2)",121.5249135,25.083279
"53","Taiwan Emergency Operations Center of Taipei City",121.5661533,25.0288456
"54","Taiwan MRT Xinyi Anhe Sta.",121.5512268,25.0331666
"55","Taiwan Zhongqiang Park",121.570112,25.030418
